PayslipID,EmployeeID,Month,Year,HoursWorked,OvertimeHours,GrossPay,SSS,PhilHealth,PagIbig,WithholdingTax,TotalDeductions,NetPay,GeneratedDate
07-2024-03-13-10022,10022,7,2024,169.00,35.40,30464.90,1125.00,456.97,609.30,1488.12,3679.40,26785.50,2026-03-13
07-2024-03-13-10021,10021,7,2024,175.02,31.45,29661.01,1125.00,444.92,593.22,1332.98,3496.11,26164.90,2026-03-13
07-2024-03-13-10024,10024,7,2024,170.08,41.38,29707.35,1125.00,445.61,594.15,1341.92,3506.68,26200.67,2026-03-13
07-2024-03-13-10002,10002,7,2024,162.00,34.13,73094.65,1125.00,900.00,1461.89,11715.23,15202.12,57892.53,2026-03-13
07-2024-03-13-10023,10023,7,2024,171.07,31.27,28145.39,1125.00,422.18,562.91,1040.46,3150.55,24994.84,2026-03-13
07-2024-03-13-10001,10001,7,2024,170.78,40.83,118833.87,1125.00,900.00,2376.68,25162.56,29564.24,89269.64,2026-03-13
07-2024-03-13-10026,10026,7,2024,168.95,40.55,32357.00,1125.00,485.35,647.14,1853.30,4110.80,28246.20,2026-03-13
07-2024-03-13-10004,10004,7,2024,171.02,38.40,78219.61,1125.00,900.00,1564.39,13221.97,16811.36,61408.25,2026-03-13
07-2024-03-13-10025,10025,7,2024,164.58,38.73,30429.18,1125.00,456.44,608.58,1481.23,3671.25,26757.93,2026-03-13
07-2024-03-13-10003,10003,7,2024,173.43,37.82,78822.29,1125.00,900.00,1576.45,13399.15,17000.60,61821.69,2026-03-13
07-2024-03-13-10028,10028,7,2024,171.92,37.05,31176.22,1125.00,467.64,623.52,1625.41,3841.58,27334.64,2026-03-13
07-2024-03-13-10006,10006,7,2024,171.70,30.17,65651.61,1125.00,900.00,1313.03,9745.14,13083.18,52568.43,2026-03-13
07-2024-03-13-10027,10027,7,2024,163.93,41.75,31838.92,1125.00,477.58,636.78,1753.31,3992.67,27846.25,2026-03-13
07-2024-03-13-10005,10005,7,2024,168.85,28.63,64157.21,1125.00,900.00,1283.14,9379.02,12687.16,51470.05,2026-03-13
08-2024-03-13-10031,10031,8,2024,155.88,41.80,27875.30,1125.00,418.13,557.51,988.33,3088.97,24786.33,2026-03-13
08-2024-03-13-10030,10030,8,2024,156.55,31.90,26307.20,1125.00,394.61,526.14,685.69,2731.44,23575.76,2026-03-13
08-2024-03-13-10019,10019,8,2024,163.75,28.78,26749.73,1125.00,401.25,534.99,771.10,2832.34,23917.39,2026-03-13
08-2024-03-13-10018,10018,8,2024,169.85,23.78,26729.64,1125.00,400.94,534.59,767.22,2827.76,23901.88,2026-03-13
08-2024-03-13-10033,10033,8,2024,169.03,19.55,60655.04,1125.00,900.00,1213.10,8520.99,11759.09,48895.96,2026-03-13
08-2024-03-13-10011,10011,8,2024,159.92,30.07,59749.67,1125.00,896.25,1194.99,8300.11,11516.35,48233.33,2026-03-13
08-2024-03-13-10032,10032,8,2024,169.52,25.22,63027.27,1125.00,900.00,1260.55,9102.18,12387.73,50639.54,2026-03-13
08-2024-03-13-10010,10010,8,2024,167.40,30.13,64290.45,1125.00,900.00,1285.81,9411.66,12722.47,51567.98,2026-03-13
08-2024-03-13-10013,10013,8,2024,161.02,32.83,28866.05,1125.00,432.99,577.32,1179.55,3314.86,25551.19,2026-03-13
08-2024-03-13-10034,10034,8,2024,161.73,25.68,60769.99,1125.00,900.00,1215.40,8549.15,11789.55,48980.45,2026-03-13
08-2024-03-13-10012,10012,8,2024,163.88,35.13,47590.36,1125.00,713.86,951.81,5366.67,8157.34,39433.02,2026-03-13
08-2024-03-13-10015,10015,8,2024,153.82,42.32,65827.60,1125.00,900.00,1316.55,9788.26,13129.81,52697.78,2026-03-13
08-2024-03-13-10014,10014,8,2024,164.32,23.20,27617.22,1125.00,414.26,552.34,938.52,3030.13,24587.09,2026-03-13
08-2024-03-13-10017,10017,8,2024,169.42,25.72,50211.23,1125.00,753.17,1004.22,5998.96,8881.35,41329.88,2026-03-13
08-2024-03-13-10016,10016,8,2024,165.15,37.05,54092.11,1125.00,811.38,1081.84,6935.22,9953.44,44138.66,2026-03-13
08-2024-03-13-10020,10020,8,2024,159.88,35.03,28186.58,1125.00,422.80,563.73,1048.41,3159.94,25026.64,2026-03-13
08-2024-03-13-10008,10008,8,2024,157.43,47.38,29017.61,1125.00,435.26,580.35,1208.80,3349.41,25668.19,2026-03-13
08-2024-03-13-10029,10029,8,2024,165.47,36.40,28254.77,1125.00,423.82,565.10,1061.57,3175.49,25079.28,2026-03-13
08-2024-03-13-10007,10007,8,2024,158.07,46.62,55339.13,1125.00,830.09,1106.78,7236.07,10297.94,45041.20,2026-03-13
08-2024-03-13-10009,10009,8,2024,160.85,35.45,27477.41,1125.00,412.16,549.55,911.54,2998.25,24479.16,2026-03-13
08-2024-03-13-10022,10022,8,2024,166.12,37.18,30371.44,1125.00,455.57,607.43,1470.09,3658.09,26713.35,2026-03-13
08-2024-03-13-10021,10021,8,2024,159.00,46.38,30027.75,1125.00,450.42,600.55,1403.76,3579.73,26448.02,2026-03-13
08-2024-03-13-10002,10002,8,2024,155.83,35.70,71591.69,1125.00,900.00,1431.83,11273.36,14730.19,56861.50,2026-03-13
08-2024-03-13-10024,10024,8,2024,155.50,45.98,28524.30,1125.00,427.86,570.49,1113.59,3236.94,25287.36,2026-03-13
08-2024-03-13-10001,10001,8,2024,158.52,28.88,104260.33,1125.00,900.00,2085.21,20877.94,24988.14,79272.18,2026-03-13
08-2024-03-13-10023,10023,8,2024,161.25,24.93,25770.36,1125.00,386.56,515.41,582.08,2609.04,23161.32,2026-03-13
08-2024-03-13-10026,10026,8,2024,155.43,46.85,31525.87,1125.00,472.89,630.52,1692.89,3921.30,27604.57,2026-03-13
08-2024-03-13-10004,10004,8,2024,160.20,33.77,72288.11,1125.00,900.00,1445.76,11478.10,14948.87,57339.24,2026-03-13
08-2024-03-13-10025,10025,8,2024,167.55,28.78,29076.18,1125.00,436.14,581.52,1220.10,3362.77,25713.41,2026-03-13
08-2024-03-13-10003,10003,8,2024,163.92,35.85,74545.53,1125.00,900.00,1490.91,12141.79,15657.70,58887.84,2026-03-13
08-2024-03-13-10028,10028,8,2024,155.57,43.40,29974.41,1125.00,449.62,599.49,1393.46,3567.57,26406.84,2026-03-13
08-2024-03-13-10006,10006,8,2024,157.75,40.43,65301.52,1125.00,900.00,1306.03,9659.37,12990.40,52311.12,2026-03-13
08-2024-03-13-10027,10027,8,2024,162.15,26.33,28737.22,1125.00,431.06,574.74,1154.68,3285.49,25451.73,2026-03-13
08-2024-03-13-10005,10005,8,2024,160.98,32.23,63101.73,1125.00,900.00,1262.03,9120.42,12407.46,50694.27,2026-03-13
